160 	? 	6 	aufreihen, ordentlich, gleichmäßig 	qí 	Langzeichen: ? 	frei 	sehr selten 	210 	? jì = Präparat
161 	? 	6 	Kleidung, Kleid 	yi 	Langform von 129? 	frei 	selten 	145 	? dài = Tasche, Beutel, ? zhuang1 = schmücken, verkleiden
162 	? 	6 	auch, ebenso 	yì 		frei 	selten 		? biàn = werden, ? luán = Zwilling, ? luán = Krampf
163 	? 	6 	Ohr 	er 		frei 	selten 	128 	? qu = holen, abholen, erhalten, ? lián = s. vereinigen, ? cong = hellhörig, klug
164 	? 	6 	Diener; Minister 	chén 		frei 	sehr selten 	131 	? wò = s. hinlegen
165 	?? 	6 		— 		gebunden 	sehr selten 		? zai = Jahr, ? zài = laden, ? zai = pflanzen, ? zai = O weh!
166 	? 	6 	bedecken, Westen 	xi 	ähnelt 193 ? (Amphore), ? Schreibvariante 	frei 	sehr selten 	146 	? yào = wollen, ? piào = Karte, Zettel
167 	? 	6 	Dorn 	cì 	ähnelt 192 ? (Bündel) 	gebunden 	sehr selten 		? jí = wilde Jujube
168 	? 	6 	unterlegen, zweitrangig, Asien 	yà 	Langzeichen: ? 	frei 	sehr selten 		? yán = streng, ? wù = verabscheuen
169 	? 	6 	Bart, und 	ér 		frei 	sehr selten 	126 	? nài = ertragen können, ? shua = spielen
170 	? 	6 	Kopf, Seite 	yè 	Langzeichen: ? 	frei 	häufig 	181 	? ding = höchster Punkt, ? fán = verdrossen, verärgert
171 	? 	6 	erreichen, bis, nach 	zhì 		frei 	sehr selten 	133 	? dào = ankommen, ? zhì = senden
172 	? 	6 	Glanz, Licht, Strahl 	guang 		frei 	sehr selten 		? hui = Glanz
173 	? 	6 	Tiger, (Kopf des Zeichens Tiger) 	hu, hu zì tóu 		frei 	sehr selten 	141 	? hu = Tiger, ? nüè =  grausam
174 	? 	6 	Insekt, Wurm 	chóng 		frei 	sehr häufig 	142 	? ma = Ameise, ? yi = Ameise, ? wén = Mücke
175 	? 	6 	Krug, Amphore 	fou 		frei 	sehr selten 	121 	? gang = Tongefäß, ? que = mangeln
176 	? 	6 	Pflug, Deichsel 	lei 	vgl. 94 ? (Holz) 	frei 	selten 	127 	? ba = Egge, ? geng = pflügen, Feld bestellen, ? hào = verbrauchen
177 	? 	6 	Zunge 	shé 		frei 	sehr selten 	135 	? luàn = Verwirrung, Chaos, ? tián = süß
178 	? 	6 	Bambus 	zhú 	? ist Schreibvariante 	frei 	sehr häufig 	118 	? bi = Pinsel, ? ba = Korb
179 	? 	6 	Mörser 	jiù 		frei 	sehr selten 	134 	? jiù = Bruder der Mutter
180 	? 	6 	kleine Nase, selbst 	zì 	vgl. 226 ? (Nase) 	frei 	sehr selten 	132 	? xi = Atem anhalten,  ausruhen, ? chòu = stinken
181 	? 	6 	Blut 	xuè 	ähnelt 146 ? (Schüssel) 	frei 	sehr selten 	143 	? nu = Nasenbluten,? xìn = Streit
182 	? 	6 	Boot, Kahn 	zhou 		frei 	relativ häufig 	137 	? háng = segeln, ? fán = Segel, ? chuán = Schiff
183 	? 	6 	Flügel 	yu 		frei 	selten 	124 	? weng = Greis, ? cuì = smaragd grün
184 	? 	6 	stur, aufrichtig 	gèn 		frei 	sehr selten 	138 	? liáng = gut, fein, ?  jì = schon, bereits
185 	? 	7 	Wort, sprechen 	yán 	Langform von 10 ? (sprechen) 	frei 	sehr selten 	149 	? yù = Reputation, loben, ? jing = warnen
186 	? 	7 	bitter, scharf, mühsam 	xin 		frei 	sehr selten 	160 	? biàn = verteidigen, ? bì = Monarch
187 	? 	7 	Morgendämmerung, 5. Erdzweig 	chén 		frei 	sehr selten 	161 	? ru = Schande, ? shèn = Muschel
188 	? 	7 	Weizen, Getreide 	mài 		frei 	sehr selten 	199 	? qu = Hefe, ? fu = Weizenkleie
189 	? 	7 	gehen 	zou 	vgl. 196 ? (Fuß) 	frei 	selten 	156 	? chao = überholen, ? qi = sich erheben, ? gan = einholen aufholen
190 	? 	7 	zinnoberrot, rot, treu, nackt 	chì 		frei 	sehr selten 	155 	? hè = prominent
191 	? 	7 	Bohne 	dòu 		frei 	sehr selten 	151 	? wan = Erbse
192 	? 	7 	Bündel, schnüren 	shù 	ähnelt 167 ? (Bündel) 	frei 	sehr selten 		? jian = Karte, Brief
193 	? 	7 	Amphore, 10. Erdzweig 	you 	ähnelt 166 ? (Westen) 	frei 	häufig 	164 	? suan = sauer
194 	? 	7 	Schwein 	shi 		frei 	sehr selten 	152 	? xi = klassisch Schwein
195 	? 	7 	Dorf, Meile, innen 	li 		frei 	sehr selten 	166 	? ye = wild
196 	? 	7 	Fuß 	zú 	vgl. 189 ? (gehen) 	frei 	häufig 	157 	? gen = zusammen mit, ? lù = Weg, Straße, ? kuà = (über-) schreiten
197 	? 	7 	pflücken, abnehmen 	cai 		frei 	sehr selten 	165 	? fan = umkehren
198 	? 	7 	Schlange, Wurm 	zhì 		frei 	sehr selten 	153 	? bào = Panther
199 	? 	7 	Tal, Schlucht 	gu 		frei 	sehr selten 	150 	? yù = Lust, Wunsch
200 	? 	7 	Rumpf, Körper 	shen 		frei 	sehr selten 	158 	? shè = schießen
201 	? 	7 	Horn 	jiao 		frei 	sehr selten 	148 	? chù = berühren
202 	? 	8 	blaugrün 	qing 		frei 	3 Zeichen 	174 	? jìng = still, ruhig
203 	? 	8 		— 		gebunden 	sehr selten 		? cháo = Morgen, ? qián = männlich
204 	? 	8 	Regen 	yu 		frei 	relativ häufig 	173 	? xue = Schnee, ? léi = Donner, ? líng = Null
205 	? 	8 	falsch, Fehler, Unrecht, nicht 	fei 		frei 	sehr selten 	175 	? bei = Trauer, ? jiu = Schnittlauch
